"133min","Tosh Zhang,Noah Yap,Joshua Tan,Maxi Lim","2D","PG13","Now Showing",3.5,"Singapore's most successful movie franchise is back! After leaving the military,Lobang,Wayang King,Sergeant Ong,and Ken Chow are all busy with their respective career as civilians. That's until they are called back to serve the nation again under the Singapore Armed Forces' Armoured Formation. Now they must juggle between work and their reservist duties. What hilarious situations will happen as they train together and their military roles are reversed? There'll be new enemy threats and their brotherhood will be put to the test.","Jack Neo","Ah Boys To Men 4",1,3-4-,"So so only. Not that funny""It's funny and I enjoyed this movie. However,there were too many products and services advertisement - total turn off."
"130min","Chris Hemsworth,Tom Hiddleston","3D","PG13","Now Showing",4.7,"In Marvel Studios' 'Thor: Ragnarok',Thor is imprisoned on the other side of the universe without his mighty hammer and finds himself in a race against time to get back to Asgard to stop Ragnarok- the destruction of his homeworld and the end of Asgardian civilization- the hands of an all-powerful new threat,the ruthless Hela. But first he must survive a deadly gladiatorial contest that pits him against his former ally and fellow Avenger- the Incredible Hulk!","Taika Waititi","Thor: Ragnarok",2,4-5-5-,"Nice! go watch if you have not done so!""I watched it twice. I just had to. Was laughing so hard I missed a lot of things the first time around. Wouldn't mind watching it a third time,but will probably just buy the blu-ray instead for unlimited viewings.""it's plot is funny and entertaining,not forgetting the awesome soundtrack."
"101min","Mila Kunis,Kristen Bell,Kathryn Hahn","2D","NC16","Now Showing",4.0,"A Bad Moms Christmas follows our three under-appreciated and over-burdened women as they rebel against the challenges and expectations of the Super Bowl for moms: Christmas. And if creating a more perfect holiday for their families wasn’t hard enough,they have to do all of that while hosting and entertaining their own mothers. By the end of the journey,our moms will redefine how to make the holidays special for all and discover a closer relationship with their mothers.","Jon Lucas","A Bad Moms Christmas",3,4-,"A inspirational movie for all the mums thise festive season,given the muddled plot and choppy editing with medium raw screenplay. It was saved by the actress acting. Go for it with no expectations and you will enjoy it."
"112min","Kate Winslet,Idris Elba,Beau Bridges","2D","M18","Now Showing",3.5,"Stranded after a tragic plane crash,two strangers must forge a connection to survive the extreme elements of a remote snow covered mountain. When they realize help is not coming,they embark on a perilous journey across hundreds of miles of wilderness,pushing one another to endure and discovering strength they never knew possible. The film is directed by Academy Award nominee Hany Abu-Assad and stars Academy Award winner Kate Winslet and Golden Globe winner Idris Elba.","Hany Abu-Assad","The Mountain Between Us",4,4-3-,"slow yet keeping the pace.""Drama. Typical survival movie but with a little twist."
"101min","Dave Franco,Justin Theroux,Fred Armisen","2D","PG","Now Showing",3.7,"In this big-screen Ninjago adventure,the battle for Ninjago City calls to action young Master Builder Lloyd,aka the Green Ninja,along with his friends,who are all secret ninja warriors. Led by Master Wu,as wise-cracking as he is wise,they must defeat evil warlord Garmadon,The Worst Guy Ever,who also happens to be Lloyd’s dad. Pitting mech against mech and father against son,the epic showdown will test this fierce but undisciplined team of modern-day ninjas who must learn to check their egos and pull together to unleash their inner power of Spinjitzu.","Charlie Bean","The Lego Ninjago Movie",5,4-3-5-3-,"A decently funny movie,stay back for some bloopers,especially if you are a fan of Jackie Chan..""Good for adults too""complete package! my daughter enjoyed watching it.""Quite an interesting movie to me."
"129min","Ryosuke Yamada,Toshiyuki Nishida","2D","PG","Now Showing",5.0,"Three delinquents run into an old house to hide from the wrongdoing they committed in the middle of the night. The house was once a general good store long ago where people could leave letters in the mailbox to seek advice for anything that were troubling them. Although the store was supposed to have been shut down,the entrance of these delinquents mysteriously triggers the mailbox to connect the past and the present - the letters from the past begins slipping through the mail slot. Are these letters from the past,crossing time to reach them? Although the three are bewildered by what is transpiring,they write responses to the letters,standing in for Yuji Namiya,the owner of the store at the time when the letters were written. The secret of the general store gradually comes to light,as well as a connection to a certain orphanage. The three individuals,who have never seriously considered anyone else’s problems their whole lives,find themselves connected to these strangers. Will this general store,which has helped so many troubled people decide their path,cause a miracle one last time?","Ryuichi Hiroki","The Miracles Of The Namiya General Store",6,5-5-,"Wonderfully scripted and acted. A heartwarming movie not to be missed!""I've read the book before. This film presents very well,including the storyline and the music. Emotional,touching,nostalgic. All sorts of feelings,all in a good way. You relate to the characters and the events."
"142min","Colin Firth,Julianne Moore,Channing Tatum","3D","NC16","Now Showing",5.0,"'Kingsman: The Secret Service' introduced the world to Kingsman - an independent,international intelligence agency operating at the highest level of discretion,whose ultimate goal is to keep the world safe. In 'Kingsman: The Golden Circle',our heroes face a new challenge. When their headquarters are destroyed and the world is held hostage,their journey leads them to the discovery of an allied spy organization in the US called Statesman,dating back to the day they were both founded. In a new adventure that tests their agents' strength and wits to the limit,these two elite secret organizations band together to defeat a ruthless common enemy,in order to save the world, something that's becoming a bit of a habit for Eggsy...","Matthew Vaughn","Kingsman: The Golden Circle",7,4-4-2-,"Overall enjoyable movie but i much preferred the first instalment.""Lacking a bit of Ommph. And losing Merlin is not necessary!""This is unacceptable"
"123mins","Henry Lim,Liu Xiao Ming","2D","PG13","Now Showing",0.0,"This is a movie.","Henry Lim","The King",8
"101min","Dave Franco,Justin Theroux,Fred Armisen","2D","PG","Now Showing",3.7,"In this big-screen Ninjago adventure,the battle for Ninjago City calls to action young Master Builder Lloyd,aka the Green Ninja,along with his friends,who are all secret ninja warriors. Led by Master Wu,as wise-cracking as he is wise,they must defeat evil warlord Garmadon,The Worst Guy Ever,who also happens to be Lloyd’s dad. Pitting mech against mech and father against son,the epic showdown will test this fierce but undisciplined team of modern-day ninjas who must learn to check their egos and pull together to unleash their inner power of Spinjitzu.","Charlie Bean","The Lego Ninjago Movie",9,4-3-5-3-,"A decently funny movie,stay back for some bloopers,especially if you are a fan of Jackie Chan..""Good for adults too""complete package! my daughter enjoyed watching it.""Quite an interesting movie to me."
